N,WideArea,NarrowArea,WideError,NarrowError
89600,0.950424,0.784978,0.00625391,0.168911
90100,0.950644,0.784983,0.00648643,0.168905
90600,0.95106,0.784901,0.00692673,0.168993
91100,0.950878,0.78494,0.00673463,0.168951
91600,0.950993,0.785098,0.00685669,0.168784
92100,0.951303,0.785147,0.00718435,0.168732
92600,0.950637,0.785205,0.00647946,0.16867
93100,0.951042,0.785134,0.00690798,0.168745
93600,0.949712,0.785075,0.00549948,0.168808
94100,0.94983,0.785207,0.00562487,0.168668
94600,0.950613,0.785328,0.00645401,0.168541
95100,0.950442,0.785363,0.00627247,0.168503
95600,0.949801,0.785377,0.00559447,0.168489
96100,0.949917,0.785546,0.00571675,0.168309
96600,0.949938,0.785476,0.00573913,0.168383
97100,0.950144,0.785644,0.00595754,0.168206
97600,0.949887,0.785533,0.00568556,0.168323
98100,0.950734,0.785586,0.00658194,0.168267
98600,0.951207,0.785446,0.00708268,0.168415
99100,0.951403,0.78553,0.0072899,0.168327
99600,0.950783,0.785643,0.00663402,0.168207
